Year,Generation,Description
1990,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1991,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1992,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1993,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1994,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1995,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1996,Millennial Generation (Gen Y),Came of age around the millennium; experienced the rise of the internet and digital technology.
1997,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
1998,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
1999,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2000,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2001,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2002,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2003,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2004,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2005,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2006,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2007,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2008,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2009,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2010,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2011,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
2012,Generation Z,First fully digital-native generation; grew up with smartphones and social media.
